epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9616,1.22828,0.62476,0.84442,0.94274,0.91454,0.94884,0.51877,1.60826,0.72974,0.90546,0.0003,0.0003,0.0003
2,22.8601,1.2711,0.63714,0.85128,0.93752,0.91503,0.95163,0.51005,1.61804,0.72798,0.90735,0.000597922,0.000597922,0.000597922
3,34.5984,1.29931,0.6775,0.84772,0.95113,0.89649,0.94944,0.49516,1.6773,0.76204,0.91543,0.000883568,0.000883568,0.000883568
4,45.7708,1.28943,0.65864,0.84581,0.95726,0.91025,0.94457,0.49739,1.64965,0.75358,0.91445,0.0009406,0.0009406,0.0009406
5,54.9393,1.25816,0.65549,0.85101,0.95583,0.91522,0.94814,0.51467,1.61651,0.73397,0.90812,0.0009208,0.0009208,0.0009208
6,64.7048,1.28243,0.66441,0.84707,0.95532,0.91065,0.95291,0.49819,1.64518,0.74465,0.91295,0.000901,0.000901,0.000901
7,75.3153,1.26544,0.65856,0.84925,0.93798,0.92172,0.95639,0.51408,1.66172,0.74706,0.91665,0.0008812,0.0008812,0.0008812
8,85.2529,1.22444,0.64275,0.84143,0.97127,0.89696,0.95445,0.51579,1.63794,0.75946,0.90881,0.0008614,0.0008614,0.0008614
9,94.5648,1.25727,0.67546,0.84836,0.96298,0.89882,0.94934,0.50207,1.64818,0.7503,0.90835,0.0008416,0.0008416,0.0008416
10,105.342,1.27471,0.65469,0.84852,0.95708,0.925,0.95609,0.5133,1.62432,0.74626,0.90461,0.0008218,0.0008218,0.0008218
11,114.944,1.24149,0.63776,0.8353,0.95902,0.91223,0.95414,0.51478,1.59898,0.72225,0.90274,0.000802,0.000802,0.000802
12,124.257,1.26829,0.64985,0.85282,0.93824,0.91492,0.95133,0.51317,1.61217,0.73,0.90572,0.0007822,0.0007822,0.0007822
13,134.498,1.20237,0.61441,0.84279,0.94694,0.91652,0.949,0.50518,1.64233,0.74779,0.91161,0.0007624,0.0007624,0.0007624
14,144.419,1.24663,0.64659,0.84344,0.96652,0.90691,0.9503,0.51037,1.63533,0.73096,0.9106,0.0007426,0.0007426,0.0007426
15,153.452,1.24385,0.62522,0.83848,0.93362,0.92125,0.948,0.49292,1.66997,0.73159,0.91663,0.0007228,0.0007228,0.0007228
16,163.407,1.22479,0.61988,0.84374,0.97249,0.89679,0.94824,0.51695,1.6124,0.72827,0.90815,0.000703,0.000703,0.000703
17,172.959,1.23403,0.62501,0.8343,0.94087,0.92954,0.95304,0.51821,1.6285,0.72157,0.9094,0.0006832,0.0006832,0.0006832
18,181.442,1.22864,0.6137,0.84056,0.93768,0.90329,0.952,0.50953,1.64159,0.72321,0.91369,0.0006634,0.0006634,0.0006634
19,191.017,1.23115,0.61222,0.84532,0.93494,0.91594,0.9512,0.51118,1.67043,0.71994,0.91691,0.0006436,0.0006436,0.0006436
20,199.543,1.20703,0.62237,0.84119,0.95098,0.91743,0.95375,0.50511,1.65471,0.70969,0.91216,0.0006238,0.0006238,0.0006238
21,208.208,1.17166,0.60735,0.83929,0.9601,0.89952,0.95378,0.5118,1.61935,0.70033,0.90863,0.000604,0.000604,0.000604
